material_id,name,phase,category,subcategory,description,specifications,unit,usage_type,usage_ratio,quality_grade,brand,notes,functional_tag,synonyms,room_type,finishing_tier_min
M0158,PPRC fitting Reducer 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0159,PPRC fitting End cap 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0160,PPRC fitting Male threaded adapter 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0161,PPRC fitting Female threaded adapter 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0162,PPRC fitting Ball valve 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0163,PPRC fitting Gate valve 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0164,PPRC fitting Check valve 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0165,PPRC fitting Elbow 90° 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0166,PPRC fitting Elbow 45° 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0167,PPRC fitting Tee 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0168,PPRC fitting Socket 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0169,PPRC fitting Union 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0170,PPRC fitting Reducer 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0171,PPRC fitting End cap 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0172,PPRC fitting Male threaded adapter 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0173,PPRC fitting Female threaded adapter 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0174,PPRC fitting Ball valve 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0175,PPRC fitting Gate valve 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0176,PPRC fitting Check valve 1 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0177,PPRC fitting Elbow 90° 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0178,PPRC fitting Elbow 45° 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0179,PPRC fitting Tee 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0180,PPRC fitting Socket 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0181,PPRC fitting Union 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0182,PPRC fitting Reducer 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0183,PPRC fitting End cap 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0184,PPRC fitting Male threaded adapter 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0185,PPRC fitting Female threaded adapter 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0186,PPRC fitting Ball valve 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0187,PPRC fitting Gate valve 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0188,PPRC fitting Check valve 1.25 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.25 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0189,PPRC fitting Elbow 90° 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0190,PPRC fitting Elbow 45° 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0191,PPRC fitting Tee 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0192,PPRC fitting Socket 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0193,PPRC fitting Union 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0194,PPRC fitting Reducer 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0195,PPRC fitting End cap 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0196,PPRC fitting Male threaded adapter 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0197,PPRC fitting Female threaded adapter 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0198,PPRC fitting Ball valve 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0199,PPRC fitting Gate valve 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0200,PPRC fitting Check valve 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1.5 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0201,PPRC fitting Elbow 90° 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0202,PPRC fitting Elbow 45° 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0203,PPRC fitting Tee 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0204,PPRC fitting Socket 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0205,PPRC fitting Union 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0206,PPRC fitting Reducer 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0207,PPRC fitting End cap 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0208,PPRC fitting Male threaded adapter 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0209,PPRC fitting Female threaded adapter 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0210,PPRC fitting Ball valve 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0211,PPRC fitting Gate valve 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0212,PPRC fitting Check valve 2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 2 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0213,UPVC sewer fitting Bend 45° 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 1.5 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0214,UPVC sewer fitting Bend 90° 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 1.5 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0215,UPVC sewer fitting Tee 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 1.5 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0216,UPVC sewer fitting Y-tee 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 1.5 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0217,UPVC sewer fitting Coupler 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 1.5 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0218,UPVC sewer fitting Reducer 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 1.5 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0219,UPVC sewer fitting End cap 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 1.5 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0220,UPVC sewer fitting Cleanout 1.5 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 1.5 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0221,UPVC sewer fitting Bend 45° 2 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 2 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0222,UPVC sewer fitting Bend 90° 2 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 2 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0223,UPVC sewer fitting Tee 2 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 2 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0224,UPVC sewer fitting Y-tee 2 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 2 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0225,UPVC sewer fitting Coupler 2 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 2 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0226,UPVC sewer fitting Reducer 2 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 2 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0227,UPVC sewer fitting End cap 2 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 2 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0228,UPVC sewer fitting Cleanout 2 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 2 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0229,UPVC sewer fitting Bend 45° 3 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 3 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0230,UPVC sewer fitting Bend 90° 3 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 3 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0231,UPVC sewer fitting Tee 3 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 3 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0232,UPVC sewer fitting Y-tee 3 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 3 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0233,UPVC sewer fitting Coupler 3 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 3 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0234,UPVC sewer fitting Reducer 3 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 3 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0235,UPVC sewer fitting End cap 3 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 3 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0236,UPVC sewer fitting Cleanout 3 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 3 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0237,UPVC sewer fitting Bend 45° 4 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 4 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0238,UPVC sewer fitting Bend 90° 4 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 4 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0239,UPVC sewer fitting Tee 4 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 4 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0240,UPVC sewer fitting Y-tee 4 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 4 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0241,UPVC sewer fitting Coupler 4 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 4 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0242,UPVC sewer fitting Reducer 4 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 4 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0243,UPVC sewer fitting End cap 4 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 4 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0244,UPVC sewer fitting Cleanout 4 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 4 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0245,UPVC sewer fitting Bend 45° 6 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 6 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0246,UPVC sewer fitting Bend 90° 6 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 6 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0247,UPVC sewer fitting Tee 6 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 6 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0248,UPVC sewer fitting Y-tee 6 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 6 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0249,UPVC sewer fitting Coupler 6 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 6 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0250,UPVC sewer fitting Reducer 6 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 6 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0251,UPVC sewer fitting End cap 6 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 6 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0252,UPVC sewer fitting Cleanout 6 in,Plumbing (Rough + Final),Plumbing,Fittings,UPVC drainage/sewer fitting for waste lines.,SN4; 6 in,pcs,per_sqft,0.02,standard,,,plumbing,,general,economy
M0253,Electrical wire copper PVC 1.0mm2,Electrical (Rough + Final),Electrical,Wiring,Copper PVC insulated wire for house wiring.,99.9% Cu; 1.0mm2,m,per_sqft,0.25,standard,,,electrical,,general,economy
M0254,Electrical wire copper PVC 1.5mm2,Electrical (Rough + Final),Electrical,Wiring,Copper PVC insulated wire for house wiring.,99.9% Cu; 1.5mm2,m,per_sqft,0.85,standard,,,electrical,,general,economy
M0255,Electrical wire copper PVC 2.5mm2,Electrical (Rough + Final),Electrical,Wiring,Copper PVC insulated wire for house wiring.,99.9% Cu; 2.5mm2,m,per_sqft,0.65,standard,,,electrical,,general,economy
M0256,Electrical wire copper PVC 4.0mm2,Electrical (Rough + Final),Electrical,Wiring,Copper PVC insulated wire for house wiring.,99.9% Cu; 4.0mm2,m,per_sqft,0.22,standard,,,electrical,,general,economy
M0257,Electrical wire copper PVC 6.0mm2,Electrical (Rough + Final),Electrical,Wiring,Copper PVC insulated wire for house wiring.,99.9% Cu; 6.0mm2,m,per_sqft,0.12,standard,,,electrical,,general,economy
M0258,Electrical wire copper PVC 10mm2,Electrical (Rough + Final),Electrical,Wiring,Copper PVC insulated wire for house wiring.,99.9% Cu; 10mm2,m,per_sqft,0.06,standard,,,electrical,,general,economy
M0259,Distribution board (DB) 4-way,Electrical (Rough + Final),Electrical,Panel,Distribution board for MCBs and circuit distribution.,Single phase; 4 way,pcs,per_house,0.4,standard,,,electrical,,general,economy
M0260,Distribution board (DB) 6-way,Electrical (Rough + Final),Electrical,Panel,Distribution board for MCBs and circuit distribution.,Single phase; 6 way,pcs,per_house,0.4,standard,,,electrical,,general,economy
M0261,Distribution board (DB) 8-way,Electrical (Rough + Final),Electrical,Panel,Distribution board for MCBs and circuit distribution.,Single phase; 8 way,pcs,per_house,1.0,standard,,,electrical,,general,economy
M0262,Distribution board (DB) 10-way,Electrical (Rough + Final),Electrical,Panel,Distribution board for MCBs and circuit distribution.,Single phase; 10 way,pcs,per_house,1.0,standard,,,electrical,,general,economy
M0263,Distribution board (DB) 12-way,Electrical (Rough + Final),Electrical,Panel,Distribution board for MCBs and circuit distribution.,Single phase; 12 way,pcs,per_house,1.0,standard,,,electrical,,general,economy
M0264,Distribution board (DB) 16-way,Electrical (Rough + Final),Electrical,Panel,Distribution board for MCBs and circuit distribution.,Single phase; 16 way,pcs,per_house,1.0,standard,,,electrical,,general,economy
M0265,MCB SP 6A,Electrical (Rough + Final),Electrical,Protection,Miniature circuit breaker for circuit protection.,SP; 6A; IEC,pcs,per_sqft,0.006,standard,,,electrical,,general,economy
M0266,MCB SP 10A,Electrical (Rough + Final),Electrical,Protection,Miniature circuit breaker for circuit protection.,SP; 10A; IEC,pcs,per_sqft,0.006,standard,,,electrical,,general,economy
M0267,MCB SP 16A,Electrical (Rough + Final),Electrical,Protection,Miniature circuit breaker for circuit protection.,SP; 16A; IEC,pcs,per_sqft,0.006,standard,,,electrical,,general,economy
M0268,MCB SP 20A,Electrical (Rough + Final),Electrical,Protection,Miniature circuit breaker for circuit protection.,SP; 20A; IEC,pcs,per_sqft,0.006,standard,,,electrical,,general,economy
M0269,MCB SP 32A,Electrical (Rough + Final),Electrical,Protection,Miniature circuit breaker for circuit protection.,SP; 32A; IEC,pcs,per_sqft,0.006,standard,,,electrical,,general,economy
M0270,MCB DP 32A,Electrical (Rough + Final),Electrical,Protection,Miniature circuit breaker for circuit protection.,DP; 32A; IEC,pcs,per_sqft,0.006,standard,,,electrical,,general,economy
M0271,MCB DP 40A,Electrical (Rough + Final),Electrical,Protection,Miniature circuit breaker for circuit protection.,DP; 40A; IEC,pcs,per_sqft,0.006,standard,,,electrical,,general,economy
M0272,MCB DP 63A,Electrical (Rough + Final),Electrical,Protection,Miniature circuit breaker for circuit protection.,DP; 63A; IEC,pcs,per_sqft,0.006,standard,,,electrical,,general,economy
M0273,Switch plate 1-gang,Electrical (Rough + Final),Electrical,Accessories,Front plate for switch box.,1 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0274,Switch box 1-gang (GI/PVC),Electrical (Rough + Final),Electrical,Back boxes,Back box for switches and sockets.,1 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0275,Switch plate 2-gang,Electrical (Rough + Final),Electrical,Accessories,Front plate for switch box.,2 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0276,Switch box 2-gang (GI/PVC),Electrical (Rough + Final),Electrical,Back boxes,Back box for switches and sockets.,2 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0277,Switch plate 3-gang,Electrical (Rough + Final),Electrical,Accessories,Front plate for switch box.,3 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0278,Switch box 3-gang (GI/PVC),Electrical (Rough + Final),Electrical,Back boxes,Back box for switches and sockets.,3 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0279,Switch plate 4-gang,Electrical (Rough + Final),Electrical,Accessories,Front plate for switch box.,4 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0280,Switch box 4-gang (GI/PVC),Electrical (Rough + Final),Electrical,Back boxes,Back box for switches and sockets.,4 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0281,Switch plate 6-gang,Electrical (Rough + Final),Electrical,Accessories,Front plate for switch box.,6 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0282,Switch box 6-gang (GI/PVC),Electrical (Rough + Final),Electrical,Back boxes,Back box for switches and sockets.,6 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0283,Switch plate 8-gang,Electrical (Rough + Final),Electrical,Accessories,Front plate for switch box.,8 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0284,Switch box 8-gang (GI/PVC),Electrical (Rough + Final),Electrical,Back boxes,Back box for switches and sockets.,8 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0285,Switch plate 12-gang,Electrical (Rough + Final),Electrical,Accessories,Front plate for switch box.,12 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0286,Switch box 12-gang (GI/PVC),Electrical (Rough + Final),Electrical,Back boxes,Back box for switches and sockets.,12 gang,pcs,per_sqft,0.01,standard,,,electrical,,general,economy
M0287,Cable lug copper 1.5mm2,Electrical (Rough + Final),Electrical,Accessories,Copper lug for terminating cables.,Ring lug; 1.5mm2,pcs,per_sqft,0.02,standard,,,electrical,,general,economy
M0288,Cable lug copper 2.5mm2,Electrical (Rough + Final),Electrical,Accessories,Copper lug for terminating cables.,Ring lug; 2.5mm2,pcs,per_sqft,0.02,standard,,,electrical,,general,economy
M0289,Cable lug copper 4mm2,Electrical (Rough + Final),Electrical,Accessories,Copper lug for terminating cables.,Ring lug; 4mm2,pcs,per_sqft,0.02,standard,,,electrical,,general,economy
M0290,Cable lug copper 6mm2,Electrical (Rough + Final),Electrical,Accessories,Copper lug for terminating cables.,Ring lug; 6mm2,pcs,per_sqft,0.02,standard,,,electrical,,general,economy
M0291,Cable lug copper 10mm2,Electrical (Rough + Final),Electrical,Accessories,Copper lug for terminating cables.,Ring lug; 10mm2,pcs,per_sqft,0.02,standard,,,electrical,,general,economy
